Iteration,Performance
1,7.469608739677524
2,9.937728635968883
3,9.937728635968883
4,9.937728635968883
5,9.937728635968883
6,9.937728635968883
7,9.937728635968883
8,9.937728635968883
9,9.937728635968883
10,9.937728635968883
11,9.937728635968883
12,9.937728635968883
13,9.937728635968883
14,9.937728635968883
15,9.937728635968883
16,9.937728635968883
17,9.937728635968883
18,9.937728635968883
19,9.937728635968883
20,9.937728635968883
21,9.937728635968883
22,9.937728635968883
23,9.937728635968883
24,9.937728635968883
25,9.937728635968883
26,9.937728635968883
27,9.937728635968883
28,9.937728635968883
29,9.937728635968883
30,9.937728635968883
31,9.937728635968883
32,9.937728635968883
33,9.937728635968883
34,9.937728635968883
35,9.937728635968883
36,9.937728635968883
37,9.937728635968883
38,9.937728635968883
39,9.937728635968883
40,9.937728635968883
41,9.937728635968883
42,9.937728635968883
43,9.937728635968883
44,9.937728635968883
45,9.937728635968883
